Sequence,onboard,oflloaded
1,49.057961,105.94821
2,136.171322,122.800112
3,133.557081,132.766247
4,135.366201,134.554625
5,127.387285,135.020494
6,142.673969,157.852888
7,127.635002,102.973938
8,125.414133,146.338701
9,142.454386,117.136478
10,127.398014,156.930923
11,130.614996,121.612549
12,132.542372,124.12262
13,134.217739,139.381647
14,134.572744,183.779755
15,129.100084,113.337755
16,138.011932,168.586969
17,131.095409,214.650488
18,133.803129,130.279303
19,132.282257,124.283791
20,138.920546,173.430471
21,63.771009,144.467611
22,62.161922,129.109859
23,46.007872,140.261412
24,82.722187,128.048182
25,67.219973,177.091936
26,65.429926,143.037319
27,90.504646,186.523199
28,134.818077,84.773779
29,130.382538,128.866196
30,134.835482,153.416157
31,134.766817,182.324438
32,134.73177,150.569477
33,131.042242,185.993671
34,126.1127,101.286888
35,143.028736,155.929375
36,132.274389,220.043993
37,127.99263,137.302637
38,138.073683,132.609129
39,128.821611,155.444384
40,129.420042,188.986635
41,138.425589,150.369883
42,134.496212,142.066956
43,127.819538,124.674082
44,132.842779,216.187859
45,132.580519,195.789862
46,131.798267,101.755857
47,120.592833,75.906277
48,152.706861,179.022884
49,132.217407,148.296871
50,126.998425,154.134312
51,129.75502,183.401442
52,138.613224,92.030764
53,127.604246,91.853619
54,139.492273,101.864338
55,130.804777,89.895487
56,132.05862,160.455523
57,130.97167,127.505064
58,135.626793,145.738878
59,131.854773,137.714386
60,128.01981,128.816605
61,138.418436,136.809826
62,139.912128,130.752802
63,123.22402,140.655279
64,135.713816,174.60372
65,135.257959,111.705542
66,128.385305,179.235992
67,134.749174,143.620253
68,132.097006,126.680851
69,131.588221,145.915051
70,130.576849,148.761749
71,138.739347,151.012201
72,131.373644,162.179747
73,135.473013,143.002033
74,134.772301,150.964527
75,117.904186,157.539864
76,143.360376,152.59244
77,134.606838,166.362047
78,131.033182,197.533226
79,135.409355,137.177467
80,135.017633,127.567053
81,128.072977,157.820244
82,133.339167,135.826588
83,130.529165,129.491091
84,134.063005,131.98185
85,134.333849,153.384943
86,135.506153,196.037292
87,130.866289,180.360651
88,132.969856,216.641283
89,129.373312,143.202305
90,136.995077,130.067587
91,130.805969,131.238461
92,134.68647,146.466255
93,131.594658,169.255781
94,134.512424,154.81329
95,134.192705,116.408348
96,130.842924,129.45199
97,140.460482,136.126757
98,122.008562,128.99971
99,129.410982,129.310846
100,130.774021,138.373613
101,132.204533,133.488894
102,130.898237,126.593351
103,137.37464,141.69383
104,129.707575,195.191212
105,139.142752,133.570433
106,130.447626,132.730007
107,128.698349,133.948565
108,141.537189,136.185884
109,105.229139,162.073612
110,139.902334,204.218006
111,131.073952,136.562347
112,140.566587,125.185966
113,127.767324,123.594761
114,132.980585,144.927979
115,130.547523,169.168272
116,69.356918,153.71871
117,116.530657,160.220146
118,132.835627,192.891455
119,135.67853,137.760878
120,133.03256,135.221958
121,131.57773,124.844074
122,136.97648,124.723673
123,135.302305,143.661737
124,135.937691,130.936146
125,131.275177,123.816252
126,131.614685,148.766756
127,131.017208,129.171133
128,140.074492,134.012222
129,101.110697,202.24514
130,148.731451,87.977886
131,118.545055,85.698128
132,137.004852,95.271349
133,140.485048,85.934162
134,125.562191,147.960424
135,141.703844,117.918491
136,132.962465,128.535271
137,126.623154,143.202066
138,136.404276,140.016794
139,132.840157,135.435581
140,131.28686,129.687548
141,122.760773,177.538872
142,143.770695,185.035086
143,127.771616,131.05154
144,130.438566,138.865709
145,131.490469,119.814396
146,132.678747,126.78504
147,131.054878,166.579485
148,136.173248,161.647377
149,139.079332,132.17473
150,102.961779,143.378258
151,148.537626,127.099514
152,136.367798,152.034044
153,134.411573,143.09576
154,125.297546,142.789602
155,133.285046,128.878117
156,140.433073,166.460791
157,131.136179,143.43977
158,137.111664,153.610268
159,128.450632,138.495684
160,126.772642,134.075165
161,136.188269,154.467125
162,131.220579,132.737398
163,129.429102,163.224459
164,136.728287,153.649845
165,132.23815,152.595072
166,136.43384,130.351067
167,127.064466,141.196012
168,136.32369,175.825167
169,134.739161,130.358458
170,130.166054,129.469633
171,133.821964,134.993315
172,132.519722,145.75696
173,130.9793,130.876303
174,140.1546,149.484425
175,128.00765,134.324074
176,130.535364,130.677938
177,134.641886,139.665842
178,133.625746,127.535105
179,129.985094,182.291985
180,133.113861,92.153788
181,139.903784,133.55732
182,127.346039,130.569696
183,132.450342,139.895678
184,135.268927,120.493412
185,137.04443,134.20105
186,126.519203,132.831573
187,135.031462,148.676634
188,132.437706,169.62676
189,134.133101,128.416061
190,129.256248,138.68618
191,137.987614,149.136562
192,134.174109,127.985716
193,129.087448,143.930435
194,132.790565,260.721445
195,132.139444,194.731569
196,139.23049,101.665497
197,144.132833,98.833799
198,105.339527,98.90604
199,125.945807,150.770903
200,137.277365,147.201834
201,126.506567,132.648182
202,134.124517,186.69591
203,128.953218,84.897041
204,139.263391,149.574814
205,138.847589,81.105471
206,128.363609,140.725422
207,137.310266,183.60815
208,131.062984,133.276272
209,102.645874,128.772297
210,160.019875,168.692913
211,131.774902,130.409718
212,134.835243,147.084951
213,124.969244,128.355265
214,135.921001,154.785156
215,134.39393,140.471258
216,134.043932,138.436794
217,134.019613,147.75753
218,130.249977,121.159554
219,143.260717,153.580189
220,128.460407,110.859871
221,128.580332,146.784782
222,135.359287,143.363504
223,137.593985,153.885603
224,130.012751,132.716417
225,131.282568,130.50437
226,134.560585,145.444632
227,134.311199,155.528593
228,131.865025,138.019323
229,132.550955,125.626087
230,138.579369,151.689768
231,109.208345,115.980387
232,131.772976,129.991055
233,137.428284,160.825968
234,140.142822,113.832951
235,131.67429,134.693623
236,120.402336,128.804207
237,140.501966,127.52676
238,77.027798,143.081427
239,66.001415,131.747961
240,135.752916,136.744261
241,134.734631,144.166231
242,126.258373,156.41098
243,135.909557,143.04328
244,133.105278,121.959448
245,131.691217,141.853333
246,137.088537,137.61425
247,132.509947,162.239552
248,129.23193,113.18469
249,135.115623,170.245943
250,132.553101,140.465736
251,133.37183,127.15292
252,137.057066,131.519794
253,136.734724,134.645462
254,128.163815,137.028217
255,136.436939,179.922638
256,132.329464,139.059067
257,128.72982,143.305063
258,137.431622,125.805855
259,134.713411,164.883413
260,130.495548,149.573088
261,125.572205,145.0105
262,137.42733,138.79776
263,137.970924,137.653112
264,125.371456,131.458282
265,128.247261,140.860319
266,144.996881,144.728184
267,122.746944,162.641096
268,136.19256,138.981342
269,136.13224,136.509895
270,138.116121,124.341249
271,102.805614,129.399061
272,146.164875,137.320042
273,121.801138,128.984928
274,129.377842,131.732702
275,131.898165,136.726856
