onboard,offloaded
0.2,0.28
0.2,0.28
0.2,0.28
0.2,0.28
0.37,0.28
0.37,0.28
0.37,0.28
0.37,0.28
0.37,0.33
0.37,0.33
0.37,0.33
0.37,0.33
0.37,0.33
0.44,0.33
0.44,0.33
0.44,0.33
0.44,0.33
0.44,0.29
0.44,0.29
0.42,0.29
0.42,0.29
0.42,0.29
0.42,0.29
0.42,0.29
0.42,0.29
0.42,0.23
0.37,0.23
0.37,0.23
0.37,0.23
0.37,0.23
0.37,0.23
0.37,0.23
0.4,0.23
0.4,0.23
0.4,0.23
0.4,0.25
0.4,0.25
0.4,0.25
0.48,0.25
0.48,0.25
0.48,0.25
0.48,0.25
0.48,0.25
0.48,0.33
0.44,0.33
0.44,0.33
0.44,0.33
0.44,0.33
0.44,0.33
0.44,0.33
0.41,0.33
0.41,0.33
0.41,0.28
0.41,0.28
0.41,0.28
0.41,0.28
0.45,0.28
0.45,0.28
0.45,0.28
0.45,0.28
0.45,0.25
0.5,0.25
0.5,0.25
0.5,0.25
0.5,0.25
0.5,0.25
0.53,0.25
0.53,0.25
0.53,0.25
0.53,0.3
0.53,0.3
0.53,0.3
0.53,0.3
0.53,0.3
0.53,0.3
0.53,0.3
0.49,0.34
0.49,0.34
0.49,0.34
0.49,0.34
0.49,0.34
0.49,0.34
0.43,0.34
0.43,0.37
0.43,0.37
0.43,0.37
0.43,0.37
0.43,0.37
0.44,0.37
0.44,0.37
0.44,0.36
0.44,0.36
0.44,0.36
0.44,0.36
0.48,0.36
0.48,0.36
0.48,0.36
0.48,0.36
0.48,0.36
0.43,0.3
0.43,0.3
0.43,0.3
0.43,0.3
0.43,0.3
0.43,0.3
0.44,0.3
0.44,0.3
0.44,0.3
0.44,0.3
0.44,0.27
0.54,0.27
0.54,0.27
0.54,0.27
0.54,0.27
0.59,0.27
0.59,0.27
0.59,0.27
0.59,0.29
0.59,0.29
0.6,0.29
0.6,0.29
0.6,0.29
0.6,0.29
0.55,0.29
0.55,0.29
0.55,0.31
0.55,0.31
0.55,0.31
0.55,0.31
0.47,0.31
0.47,0.31
0.47,0.31
0.47,0.31
0.47,0.31
0.53,0.3
0.53,0.3
0.53,0.3
0.53,0.3
0.53,0.3
0.53,0.3
0.53,0.3
0.53,0.3
0.53,0.32
0.22,0.32
0.22,0.32
0.22,0.32
0.22,0.32
0.22,0.32
0.22,0.32
0.22,0.39
0.22,0.39
0.35,0.39
0.35,0.39
0.35,0.39
0.35,0.39
0.35,0.42
0.35,0.42
0.35,0.42
0.38,0.42
0.38,0.42
0.38,0.46
0.38,0.46
0.38,0.46
0.38,0.46
0.4,0.46
0.4,0.46
0.4,0.46
0.4,0.41
0.4,0.41
0.4,0.41
0.44,0.41
0.44,0.41
0.44,0.41
0.44,0.41
0.44,0.41
0.48,0.32
0.48,0.32
0.48,0.32
0.48,0.32
0.48,0.32
0.49,0.32
0.49,0.32
0.49,0.32
0.49,0.31
0.49,0.26
0.49,0.26
0.46,0.26
0.46,0.26
0.46,0.26
0.46,0.26
0.46,0.26
0.46,0.26
0.46,0.31
0.41,0.31
0.41,0.31
0.41,0.31
0.41,0.31
0.41,0.31
0.41,0.31
0.38,0.31
0.38,0.31
0.38,0.31
0.38,0.27
0.38,0.27
0.38,0.27
0.38,0.27
0.42,0.27
0.42,0.35
0.42,0.35
0.42,0.35
0.42,0.35
0.42,0.35
0.41,0.35
0.41,0.35
0.41,0.35
0.41,0.35
0.41,0.35
0.41,0.35
0.38,0.35
0.38,0.35
0.38,0.21
0.38,0.21
0.38,0.21
0.38,0.21
0.46,0.21
0.46,0.21
0.46,0.21
0.46,0.21
0.46,0.21
0.52,0.21
0.52,0.21
0.52,0.22
0.52,0.22
0.52,0.22
0.55,0.22
0.55,0.22
0.55,0.22
0.55,0.22
0.55,0.22
0.54,0.27
0.54,0.27
0.54,0.27
0.54,0.27
0.54,0.27
0.54,0.27
0.44,0.27
0.44,0.27
0.44,0.27
0.44,0.27
0.44,0.27
0.44,0.27
0.42,0.27
0.42,0.27
0.42,0.27
0.42,0.27
0.42,0.27
0.42,0.27
0.42,0.27
0.42,0.28
0.42,0.28
0.42,0.28
0.42,0.28
0.25,0.28
0.25,0.28
0.25,0.28
0.25,0.35
0.25,0.35
0.25,0.35
0.25,0.35
0.32,0.35
0.32,0.35
0.32,0.39
0.32,0.39
0.32,0.39
0.32,0.39
0.32,0.39
0.32,0.39
0.34,0.39
0.34,0.43
0.34,0.43
0.34,0.43
0.34,0.43
0.34,0.43
0.34,0.43
0.36,0.4
0.36,0.4
0.36,0.4
0.36,0.4
0.36,0.4
0.36,0.4
0.36,0.4
0.39,0.4
0.39,0.4
0.39,0.29
0.39,0.29
0.39,0.29
0.39,0.29
0.41,0.29
0.41,0.29
0.41,0.29
0.41,0.29
