SS,CNN,AMSimplex,RLSimplex
110.2106571,101.0978222,134.7331047,49.05796051
85.96038818,68.13716888,98.11091423,136.1713219
87.69321442,123.4414577,87.9547596,133.5570812
82.77511597,83.04691315,107.9468727,135.3662014
84.30933952,91.98832512,141.4315701,127.3872852
88.88936043,77.11291313,125.7061958,142.6739693
83.27507973,83.4107399,133.4331036,127.6350021
82.13639259,82.16333389,132.1718693,125.4141331
82.65900612,86.5085125,128.8170815,142.4543858
87.85867691,83.88829231,136.1296177,127.3980141
80.41453362,77.49295235,138.2544041,130.614996
81.94112778,97.22948074,129.3339729,132.5423717
87.0206356,74.65195656,130.7048798,134.2177391
81.21061325,83.74643326,138.5536194,134.5727444
82.32426643,92.44251251,130.8124065,129.1000843
83.97459984,85.73532104,132.7116489,138.0119324
84.10000801,85.23416519,131.3664913,131.0954094
67.73018837,78.36294174,132.1172714,133.8031292
100.7647514,80.8672905,152.7073383,132.2822571
106.2545776,82.33094215,114.2382622,138.9205456
102.1258831,77.3627758,130.466938,63.77100945
101.3598442,83.6160183,131.6533089,62.16192245
115.3378487,58.32767487,130.4223537,46.00787163
82.8742981,125.041008,156.2697411,82.72218704
81.97307587,96.50731087,86.9743824,67.21997261
86.53020859,80.04593849,114.4034863,65.42992592
82.38244057,83.40597153,131.2327385,90.5046463
82.8742981,81.93421364,131.3347816,134.8180771
82.00359344,81.30788803,147.0961571,130.3825378
86.57312393,85.79206467,121.7312813,134.8354816
82.76391029,91.70293808,144.8116302,134.7668171
82.50451088,85.56509018,122.4522591,134.7317696
85.55579185,85.96634865,137.2799873,131.0422421
82.21435547,81.80618286,133.3830357,126.1126995
82.50355721,86.71379089,140.3991222,143.0287361
86.0311985,77.12340355,106.1182022,132.2743893
83.57691765,82.67617226,148.2186317,127.99263
84.19418335,96.14300728,88.40537071,138.0736828
88.48047256,77.34298706,164.8302078,128.8216114
83.73475075,88.65475655,103.7285328,129.420042
82.25083351,86.59148216,158.8103485,138.4255886
82.10682869,82.14688301,112.7929688,134.496212
86.4481926,82.42249489,84.76853371,127.8195381
82.76796341,91.47310257,154.1624069,132.8427792
82.2994709,80.81626892,162.935257,132.5805187
86.32826805,65.90151787,186.9677067,131.7982674
83.09793472,127.6838779,91.48144722,120.5928326
82.15117455,84.70606804,124.8664856,152.7068615
85.97636223,83.43482018,135.6298923,132.2174072
82.62610435,81.13145828,132.1973801,126.9984245
81.75063133,90.53182602,131.469965,129.7550201
86.41982079,90.67034721,154.9224854,138.613224
78.89819145,82.44466782,116.9252396,127.6042461
81.86483383,90.91949463,139.7480965,139.4922733
82.97872543,57.49440193,148.4994888,130.8047771
86.01903915,62.7925396,135.9069347,132.0586205
81.98595047,57.28912354,112.6253605,130.9716702
83.54282379,58.0201149,132.4295998,135.6267929
88.52481842,60.54115295,130.959034,131.8547726
82.35955238,61.44809723,132.3919296,128.0198097
83.30488205,64.7778511,130.9177876,138.4184361
87.59117126,60.17446518,139.9521828,139.9121284
79.87141609,65.51361084,126.4817715,123.22402
83.98222923,51.32436752,131.029129,135.7138157
83.73188972,88.22965622,144.5884705,135.2579594
82.48353004,77.06785202,124.4082451,128.3853054
82.24225044,81.96091652,133.6874962,134.7491741
84.65647697,84.97023582,124.2506504,132.0970058
86.37785912,79.84852791,140.2027607,131.5882206
83.48298073,106.9734097,136.6038322,130.576849
78.00006866,81.19034767,136.8503571,138.7393475
87.96739578,51.476717,128.9660931,131.3736439
84.57660675,50.81176758,133.9321136,135.4730129
83.45961571,32.7000618,128.04389,134.7723007
87.12744713,60.42599678,136.1460686,117.9041862
83.19473267,60.87303162,135.8184814,143.3603764
83.51349831,51.11169815,128.1793118,134.6068382
83.45413208,56.44655228,157.2985458,131.0331821
77.92115211,60.19687653,127.8498173,135.4093552
79.60724831,55.1533699,102.5838852,135.0176334
81.73322678,61.38324738,122.5757599,128.0729771
84.51747894,58.57253075,132.9882145,133.3391666
81.33101463,60.73331833,135.5881691,130.5291653
80.20353317,60.71019173,130.5646896,134.0630054
86.15779877,54.39448357,139.2698288,134.333849
70.72877884,55.12213707,130.4433346,135.5061531
102.3514271,58.2075119,128.5076141,130.8662891
105.9296131,57.32989311,136.5091801,132.9698563
94.73395348,58.25209618,140.5322552,129.373312
100.6805897,51.69796944,124.7353554,136.9950771
111.6466522,54.52108383,166.4490509,130.8059692
88.36364746,54.13866043,102.6937962,134.68647
83.50133896,52.73103714,112.9112244,131.5946579
83.2657814,50.97794533,129.3547153,134.5124245
87.38923073,52.76846886,136.2905502,134.1927052
83.8098526,92.34762192,130.8727264,130.8429241
22.84860611,79.07152176,131.4969063,140.4604816
23.88358116,56.6701889,136.3077164,122.0085621
13.78536224,83.58311653,179.5949936,129.4109821
67.07811356,55.99784851,90.51465988,130.7740211
105.1652431,74.95212555,137.4926567,132.2045326
102.4334431,78.07016373,123.2812405,130.8982372
101.8178463,76.3874054,131.0315132,137.3746395
102.3209095,70.41788101,132.8656673,129.7075748
116.2648201,112.3156548,137.4499798,139.1427517
82.37934113,78.44758034,131.7155361,130.4476261
86.14134789,55.95850945,135.1218224,128.698349
85.19673347,58.53796005,163.6814976,141.5371895
80.29580116,74.29766655,138.1528378,105.2291393
97.24593163,85.47496796,142.7526474,139.9023342
106.2018871,78.82905006,83.84132385,131.0739517
101.8848419,85.13259888,127.8560162,140.5665874
102.656126,75.75297356,143.6741352,127.7673244
106.2326431,82.44109154,141.5736675,132.9805851
112.1132374,83.59503746,142.65789,130.5475235
49.55887794,83.28056335,81.85529709,69.35691833
84.12432671,75.46663284,164.3433571,116.5306568
79.26917076,84.16223526,146.394434,132.8356266
85.61944962,86.71665192,110.7878685,135.6785297
82.65185356,79.4532299,102.7107239,133.0325603
84.2063427,70.24693489,157.8559685,131.5777302
103.7218571,56.99205399,117.5482273,136.9764805
100.4657745,72.39699364,76.63798332,135.3023052
107.0671082,94.0554142,111.6759777,135.9376907
103.4495831,69.12350655,140.141964,131.275177
111.5398407,81.87913895,77.76212692,131.6146851
83.68134499,79.65731621,135.525465,131.0172081
89.03455734,59.0441227,181.0053349,140.0744915
81.88772202,70.74379921,142.1859264,101.1106968
84.53702927,79.89525795,168.7989235,148.731451
86.22765541,84.67340469,104.8967838,118.5450554
83.80484581,93.63031387,160.6626034,137.0048523
82.3264122,62.77251244,89.66302872,140.4850483
83.76121521,79.6983242,155.4983997,125.562191
80.93762398,79.93721962,85.1559639,141.7038441
80.61504364,71.32792473,109.6599102,132.9624653
84.22493935,58.95471573,90.73400497,126.6231537
80.55019379,88.39011192,83.44841003,136.4042759
80.5773735,77.98981667,81.46333694,132.8401566
79.80203629,79.6482563,91.7570591,131.2868595
83.57143402,77.78000832,108.643055,122.7607727
81.50482178,83.85157585,108.2923412,143.7706947
81.47835732,89.69140053,104.6488285,127.771616
87.02468872,88.0856514,88.96350861,130.4385662
83.36853981,66.28704071,173.0921268,131.490469
72.10111618,63.25531006,135.1118088,132.6787472
83.81509781,32.61041641,170.7718372,131.0548782
82.57699013,30.70998192,103.441,136.1732483
83.04286003,31.06045723,85.94965935,139.0793324
