SS,CNN,AMSimplex,RLSimplex
0.27,0.27,0.32,0.2
0.27,0.27,0.32,0.2
0.27,0.27,0.32,0.2
0.31,0.32,0.32,0.2
0.31,0.32,0.32,0.37
0.31,0.32,0.32,0.37
0.31,0.32,0.34,0.37
0.31,0.32,0.34,0.37
0.31,0.32,0.34,0.37
0.31,0.32,0.34,0.37
0.31,0.35,0.34,0.37
0.31,0.35,0.34,0.37
0.31,0.35,0.34,0.37
0.31,0.35,0.34,0.44
0.35,0.35,0.34,0.44
0.35,0.35,0.3,0.44
0.35,0.35,0.3,0.44
0.35,0.35,0.3,0.44
0.33,0.33,0.3,0.44
0.33,0.33,0.3,0.42
0.33,0.33,0.3,0.42
0.33,0.33,0.3,0.42
0.33,0.33,0.3,0.42
0.33,0.33,0.3,0.42
0.33,0.33,0.27,0.42
0.33,0.33,0.27,0.42
0.31,0.31,0.27,0.37
0.31,0.31,0.27,0.37
0.31,0.41,0.27,0.37
0.31,0.41,0.27,0.37
0.31,0.41,0.27,0.37
0.31,0.41,0.27,0.37
0.31,0.41,0.32,0.4
0.31,0.41,0.32,0.4
0.31,0.41,0.32,0.4
0.31,0.41,0.32,0.4
0.31,0.41,0.32,0.4
0.31,0.41,0.32,0.4
0.31,0.41,0.32,0.48
0.31,0.41,0.32,0.48
0.31,0.41,0.33,0.48
0.3,0.3,0.33,0.48
0.3,0.3,0.33,0.48
0.3,0.3,0.33,0.48
0.3,0.3,0.33,0.44
0.3,0.3,0.33,0.44
0.3,0.3,0.33,0.44
0.3,0.3,0.33,0.44
0.3,0.3,0.33,0.44
0.2,0.16,0.31,0.44
0.2,0.16,0.31,0.41
0.2,0.16,0.31,0.41
0.2,0.16,0.31,0.41
0.2,0.16,0.31,0.41
0.2,0.16,0.31,0.41
0.2,0.16,0.31,0.41
0.23,0.23,0.36,0.45
0.23,0.23,0.36,0.45
0.23,0.23,0.36,0.45
0.23,0.23,0.36,0.45
0.23,0.23,0.36,0.45
0.23,0.23,0.36,0.5
0.23,0.23,0.39,0.5
0.23,0.23,0.39,0.5
0.23,0.23,0.39,0.5
0.27,0.29,0.39,0.5
0.27,0.29,0.39,0.53
0.27,0.29,0.39,0.53
0.27,0.29,0.39,0.53
