Sequence,Temperature,CPU,Offloading
1,55.8,2.7,0
2,56.4,48,0
3,56.4,45.5,0
4,56.4,44.4,0
5,56.9,22.4,0
6,56.9,42.9,0
7,56.9,45.5,0
8,56.9,42.9,0
9,56.9,39.1,0
10,57.5,50,0
11,57.5,47.8,0
12,58,39.3,0
13,58,43.5,0
14,58,50,0
15,58.5,48.1,0
16,58,44.8,0
17,58,40.9,0
18,58,45.8,0
19,58,40.9,0
20,58,18.6,0
21,58.5,25.4,0
22,58,22.6,0
23,58,18.5,0
24,58.5,32.7,0
25,58.5,40,0
26,58,40.7,0
27,58,42.6,0
28,58,50,0
29,59.1,38.7,0
30,58.5,24.1,0
31,58.5,40.7,0
32,58.5,31,0
33,59.1,32.3,0
34,59.1,31,0
35,58.5,23.7,0
36,58.5,37.8,0
37,59.1,51.9,0
38,59.1,48,0
39,58.5,42.9,0
40,58.5,39.1,0
41,59.1,43.3,0
42,59.1,40,0
43,59.1,42.9,0
44,59.1,40.6,0
45,59.1,48,0
46,59.1,42.9,0
47,59.6,36.7,0
48,59.1,44.9,0
49,59.1,38.1,0
50,59.6,45.8,0
51,60.1,34.8,0
52,59.1,42.1,0
53,59.6,36,0
54,59.6,40,0
55,59.6,42.3,0
56,59.6,41.7,0
57,59.1,42.9,0
58,60.1,37.9,0
59,59.6,43.8,0
60,59.1,51.4,0
61,59.6,45.5,0
62,59.6,48,0
63,60.1,34.5,0
64,59.6,48.3,0
65,59.1,44.8,0
66,59.6,30.8,0
67,60.1,44,0
68,60.1,45,0
69,60.7,41.4,0
70,60.1,42.9,0
71,60.1,38.5,0
72,59.6,35,0
73,60.1,50,0
74,60.1,45.5,0
75,60.1,46.2,0
76,60.1,50,0
77,60.1,51.9,0
78,60.1,50,0
79,60.1,45.5,0
80,60.1,34.6,0
81,60.7,45.8,0
82,60.1,37.5,0
83,60.7,40.9,0
84,60.7,34.6,0
85,60.1,42.3,0
86,60.7,48.1,0
87,60.7,38.5,0
88,60.1,33.3,0
89,60.7,25.8,0
90,60.7,50,0
91,60.1,42.9,0
92,60.7,39.5,0
93,60.1,52,0
94,60.7,45.2,0
95,61.2,47.8,0
96,60.1,42.4,0
97,60.1,47.8,0
98,60.1,43.5,0
99,60.7,32.4,0
100,60.1,25,0
101,60.1,53.8,0
102,60.1,36.6,0
103,60.1,51.9,0
104,60.1,52,0
105,61.2,37.5,0
106,60.1,46.2,0
107,60.1,40.9,0
108,60.7,37.5,0
109,60.7,44.4,0
110,60.7,37,0
111,60.7,45.8,0
112,60.7,42.9,0
113,61.2,41.4,0
114,60.1,38.5,0
115,60.7,45.8,0
116,60.7,45.2,0
117,60.7,45.5,0
118,60.7,44,0
119,60.7,40.9,0
120,59.1,38.9,0
121,60.7,28.6,0
122,61.2,30.8,0
123,62.3,45,0
124,62.8,26.7,0
125,62.8,41.2,0
126,62.8,42.1,0
127,63.9,37.5,0
128,63.9,26.7,0
129,64.5,44.4,0
130,64.5,26.7,0
131,65,26.7,0
132,65,28.6,0
133,64.5,26.7,0
134,65,31.2,0
135,65,25,0
136,65,45,0
137,65,31.2,0
138,64.5,33.3,0
139,64.5,28.6,0
140,65,35.3,0
141,64.5,52.2,0
142,64.5,31.3,0
143,65,31.2,0
144,64.5,28.6,0
145,65,26.7,0
146,65.5,35.3,0
147,65,26.7,0
148,65.5,41.2,0
149,65.5,28.6,0
150,65,28.6,0
151,65,30.8,0
152,65.5,33.3,0
153,64.5,23.1,0
154,65.5,33.3,0
155,65.5,29.2,0
156,66.1,31.3,0
157,65.5,37,0
158,65.5,26.7,0
159,65.5,50,0
160,65.5,26.7,0
161,66.1,35.3,0
162,65.5,33.3,0
163,65.5,26.7,0
164,65.5,26.7,0
165,65.5,37.5,0
166,65.5,25,0
167,65.5,37.5,0
168,65.5,26.7,0
169,65.5,28.6,0
170,65.5,29.4,0
171,65.5,31.2,0
172,65.5,26.7,0
173,65.5,25,0
174,65.5,37.5,0
175,65.5,28.6,0
176,66.1,26.7,0
177,65.5,26.7,0
178,65.5,31.3,0
179,65.5,44.4,0
180,65.5,26.7,0
181,65.5,26.7,0
182,65.5,31.3,0
183,65,33.3,0
184,65.5,25,0
185,65.5,37.5,0
186,65.5,36.8,0
187,65.5,25,0
188,65.5,26.7,0
189,65.5,25,0
190,65.5,42.1,0
191,65.5,31.3,0
192,65,26.7,0
193,65.5,25,0
194,65,31.3,0
195,65,33.3,0
196,65,26.7,0
197,64.5,37.5,0
198,64.5,35.3,0
199,65.5,26.7,0
200,65.5,29.4,0
201,65,25,0
202,65.5,31.2,0
203,65.5,35.3,0
204,65.5,25,0
205,65.5,31.3,0
206,66.1,25,0
207,65.5,25,0
208,65.5,29.4,0
209,65.5,25,0
210,65.5,33.3,0
211,65.5,38.5,0
212,65.5,25,0
213,65,25,0
214,65.5,33.3,0
215,65.5,25,0
216,65,29.4,0
217,65.5,23.5,0
218,64.5,29.6,0
219,65.5,23.5,0
220,65.5,31.6,0
221,65,42.9,0
222,65,26.7,0
223,65.5,36.8,0
224,65,33.3,0
225,65,25,0
226,65.5,45,0
227,65,25,0
228,65.5,36.8,0
229,65.5,25,0
230,65.5,23.5,0
231,65.5,33.3,0
232,65.5,50,0
233,65.5,31.6,0
234,65.5,25,0
235,65.5,38.9,0
236,65.5,42.1,0
237,65.5,33.3,0
238,65.5,33.3,0
239,65.5,29.4,0
240,65.5,29.4,0
241,65.5,33.3,0
242,65,23.5,0
243,65.5,25,0
244,66.1,25,0
245,65,23.5,0
246,65.5,31.6,0
247,65.5,36.8,0
248,65.5,23.5,0
249,65.5,25,0
250,65,29.6,0
251,65.5,25,0
252,65.5,31.2,0
253,65.5,34.8,0
254,65.5,31.6,0
255,65.5,29.4,0
256,65,27.8,0
257,66.1,29.4,0
258,65.5,23.5,0
259,65,25,0
260,65.5,42.9,0
261,65.5,29.4,0
262,65.5,23.5,0
263,65.5,33.3,0
264,65.5,31.6,0
265,66.1,31.6,0
266,66.1,25,0
267,66.1,50,0
268,66.6,27.8,0
269,66.1,38.5,0
270,65.5,31.6,0
271,65.5,39.3,0
272,65.5,36.8,0
273,66.1,36.8,0
274,65.5,27.8,0
275,66.1,26.3,0
276,66.1,27.8,0
277,66.1,33.3,0
278,65.5,31.6,0
279,66.6,42.9,0
280,66.1,35,0
281,66.1,27.8,0
282,66.1,27.8,0
283,66.6,31.6,0
284,66.6,35,0
285,66.1,30.4,0
286,65.5,25,0
287,66.1,30.4,0
288,66.1,27.8,0
289,65.5,23.5,0
290,66.6,31.6,0
291,65.5,22.2,0
292,66.1,33.3,0
293,66.1,27.8,0
294,65.5,23.5,0
295,65.5,30,0
296,65.5,35,0
297,65.5,28.6,0
298,66.1,25.9,0
299,66.6,26.3,0
300,66.1,32.4,0
301,65.5,25,0
302,65.5,31.6,0
303,65.5,31.6,0
304,66.6,31.6,0
305,66.6,30,0
306,66.1,30,0
307,66.6,38.1,0
308,66.1,30,0
309,66.6,26.3,0
310,66.6,30,0
311,66.6,25,0
312,66.6,25,0
313,66.1,38.1,0
314,66.1,27.3,0
315,66.6,42.9,0
316,66.1,22.2,0
317,66.6,26.3,0
318,66.6,38.1,0
319,65.5,28.6,0
320,65.5,26.3,0
321,65.5,25,0
322,66.6,27.8,0
